To abolish	Отменять
To approve	Утвердить
To boast	Гордиться
To contribute	Жертвовать
To deliver	Доставлять
To descend	Спуститься
To concentrate	Сосредотачиваться
To distract	Отвлечь
To torture	Мучить
To confuse	Путать
To abandon	Покинуть
To escape	Совершить побег
To distribute	Распространять
To elaborate	Разрабатывать
To construct	Строить
To humiliate	Унижать
To maintain	Поддерживать
To squeeze	Сжимать
To delegate	Делегировать
To transfer	Передавать
To employ	Нанимать
To catch	Поймать
To commit	Совершить
To arrange	Организовать
To implement	Внедрить
To insulate	Ограждать
To encourage	Стимулировать
To foster	Поощрять
To boost	Повышать
To optimize	Оптимизировать
To rank	Ранжировать
To identify	Определить
To empower	Наделить полномочиями
To ensure	Обеспечить
To accomplish	Выполнить
To customize	Настроить
To localize	Локализовать
To tailor	Приспособить
To validate	Удостоверять
To reserve	Резервировать
To estimate	Оценивать
To consulate	Консультировать
To regard	Рассматривать
To indicate	Указывать
To unify	Объединять
To digitalize	Оцифровать
To expose	Подвергать
To idealize	Идеализировать
To navigate	Ориентироваться
To sustain	Выдерживать
To constrain	Сдерживать
To evade	Обойти
To purchase	Приобретать
To earn	Зарабатывать
To make sure	Убедиться
To prototype	Создать протопит
To endeavour	Стремиться
To blend	Смешивать
To prioritize	Расставить приоритеты
To mitigate	Смягчать
To emphasize	Подчеркнуть
To observe	Наблюдать
To evolve	Развиваться
To incentivize	Стимулировать
To respond	Реагировать
To connect	Соединить
To command	Командовать
To check-out	Проверить
To extend	Продлить
To retain	Оставить
To exhibit	Показывать
To invent	Изобретать
To abridge	Ограничивать
To self-express	Самовыражаться
To neglect	Пренебрегать
To negotiate	Договариваться
To upgrade	Повышать
To renew	Обновить
To specialize	Специализироваться
To balance	Уравновешивать
To absorb	Поглощать
To overwhelm	Переполнять
To align	Выравнивать
To withdraw	Отстраниться
To whistle	Свистеть
To suspect	Подозревать
To surrender	Сдаваться
To depend on	Зависеть от
To correct	Исправлять
To define	Определить
To visualize	Визуализировать
To design	Проектировать
To minimize	Минимизировать
To disturb	Нарушить
To integrate	Интегрировать
To exchange	Обменивать
To organize	Организовать
To collaborate	Сотрудничать
To embed	Встраивать
To generate	Генерировать
