To abhor	Ненавидеть
To abrogate	Отменить
To abstain	Воздержаться
To strengthen	Укрепить
To yield	Уступить
To sustain	Поддерживать
To seize	Захватить
To nourish	Питать
To desist	Запретить
To recapitulate	Пересказывать
To proclaim	Провозгласить
To beget	Родить
To mature	Созреть
To contemplate	Созерцать
To flourish	Процветать
To cable	Проводить
To congregate	Собираться
To induce	Побудить
To highlight	Выделять
To foretell	Предсказывать
To foreshadow	Предвещать
To interlace	Переплетать
To relish	Наслаждаться
To tread	Ухаживать
To rehearse	Репетировать
To narrate	Рассказывать
To alleviate	Облегчать
To bilk	Обналичивать
To refine	Усовершенствовать
To restructure	Реструктурировать
To decay	Распадаться
To corrupt	Развращать
To alter	Изменяться
To discern	Различить
To disclose	Раскрыть
To inscribe	Начертать
To proffer	Предложить
To meddle	Вмешиваться
To violate	Нарушать
To further	Продолжать
To humble	Смирять
To subdue	Покорять
To demote	Понижать
To obey	Подчиняться
To employ	Нанимать
To chastise	Наказывать
To concoct	Придумать
To condone	Потворствовать
To cringe	Сокрушаться
To ensconce	Приютить
To sanction	Наказывать
To affix	Прикрепить
To curb	Ограничить
To restrain	Сдерживать
To enlarge	Увеличить
To govern	Управлять
To reckon	Пересчитать
To esteem	Ценить
To sweeten	Подсластить
To fluctuate	Колебаться
To fare	Зависеть
To halt	Остановить
To endure	Выдержать
To revenge	Мстить
To attain	Достигать
To divest	Расставаться
To elucidate	Прояснить
To invent	Изобретать
To shield	Защищать
To resemble	Походить
To ingest	Проглотить
To dispense	Раздавать
To match	Соответствовать
To engross	Вовлечь
To collude	Сговориться
To split	Разделить
To unveil	Раскрыть
To bear	Выносить
To prompt	Подсказать
To mold	Лепить
To rub	Натирать
To stomp	Топтать
To narrate	Рассказывать
To sense	Чувствовать
To outdate	Устаревать
To clutter	Загромождать
To scrabble	Царапать
To accuse	Обвинять
To summon	Вызвать
To outfit	Снарядить
To convert	Преобразовать
To override	Переопределить
To bind	Связать
To nurture	Воспитывать
To recount	Пересказывать
To backlog	Отставать
To inspectorate	Инспектировать
To unearth	Раскопать
To demote	Понизить в должности
To trap	Заманить в ловушку
