To abate	Сокращать
To abjure	Отказаться
To dangle	Болтаться
To abscond	Скрыться
To assuage	Успокаивать
To disabuse	Разочаровать
To equivocate	Увиливать
To incise	Надрезать
To diminish	Уменьшать
To jeopardize	Ставить под угрозу
To breed	Размножаться
To prevaricate	Преувеличивать
To recant	Отказаться от показаний
To refute	Опровергать
To ignoble	Обольстить
To banish	Изгнать
To disavow	Отречься
To explode	Взорваться
To unearth	Раскопать
To depict	Отобразить
To unpick	Распарывать
To originate	Зарождаться
To pluck	Вырывать
To amass	Накапливать
To staff	Укомплектовать
To shrink	Сокращаться
To mold	Лепить
To contrive	Придумывать
To entice	Завлекать
To pervade	Пронизывать
To prevail	Преобладать
To supersede	Вытеснять
To redeem	Выкупить
To wrack	Потревожить
To mesh	Зацеплять
To render	Оказывать
To lease	Сдать в аренду
To stipulate	Оговаривать
To decree	Постановить
To reminisce	Вспоминать
To rarefy	Редеть
To venerate	Почитать
To hatch	Вылупляться
To anchor	Бросить якорь
To inherit	Получить в наследство
To stab	Закалывать
To sublet	Сдавать в субаренду
To outline	Начертить
To infiltrate	Проникнуь
To utter	Произносить
To vituperate	Издеваться
To waver	Колебаться
To withstand	Выдерживать
To swap	Поменять местами
To coax	Соединить
To conspire	Сговориться
To append	Приложить
To entail	Влечь за собой
To repine	Порицать
To glance	Бросить взгляд
To resort	Прибегать
To substitute	Заменить
To surpass	Превзойти
To deem	Считать
To prophesy	Пророчествовать
To unveil	Раскрыть
To discard	Отказаться
To eradicate	Искоренить
To propagate	Распространять
To terminate	Прекратить
To engross	Захватить
To overtake	Обгонять
To shield	Укрыть
To ingest	Проглотить
To malign	Очернить
To exhibit	Выставлять
To extirpate	Уничтожить
To initiate	Инициировать
To adjoy	Придерживаться
To delve	Углубиться
to vow	Клясться
to alienate	отчуждать
to reimburse	возмещать
to disperse	Рассеивать
to overlook	упускать из виду
to dismantle	Демонтировать
to exhilarate	взбодриться
to thrill	возбуждать
to underpin	поддерживать
to follow-up	следить
to predispose	Предрасполагать
to peer	Равняться
to intervene	вмешиваться
to resonate	резонировать
to contradict	Противоречить
to distil	Дистиллировать
to mitigate	Смягчать
to bounce back	Отскочить
To indulge	Побаловать
To sniff	Нюхать
