profit	прибыль
sundown	заход солнца
lobby	вестибюль
mock	дразнить
egress	выход
privy	тайный
covet	жаждать
incite	побуждать
formless	бесформенный
extol	восхвалять
rasp	скрежет
speck	пятно
terrain	местность
weeds	траур
hallway	прихожая
divest	лишать
expose	выставлять
fume	дым
hoof	копыто
prickle	шип
halve	делить пополам
remit	уменьшать
recede	отступать
puny	маленький
opaque	непрозрачный
intend	намереваться
garb	одеяние
prune	чернослив
bleed	кровоточить
crum	ударять
greedy	жадный
pregnant	беременность
struggle	борьба
glue	клей/клеить
wallow	валяться
civil	гражданский или вежливый
barmy	пенистый
artless	простой (о человеке)
drought	засуха
gewgaw	безделушка
pimple	прыщ
con	зубрить
gate	ворота
dread	бояться
evade	избегать
misprint	опечатка
skill	умение
wasp	оса
doze	дремота
grid	решетка
avarice	алчность
arcane	тайный
Ascertain	выяснить
candor	откровенность
Callous	черствый
coherent	последовательный
debase	обесценивать
demure	скромный
deride	высмеивать
empathy	сочувствие
fractious	капризный
Haughty	надменный
modicum	чуточка
novice	начинающий
Solicit	просить
serendipity	интуитивная прозорливость
inhibit	препятствовать
incisive	Проницательный
innate	врожденный
lithe	гибкий
lurid	Мрачный
meticulous	дотошный
Oblivious (of)	не обращающий внимания
precede	предшествовать
quiant	причудливый
rash	Поспешный
taciturn	молчаливый
vocarious	Ненасытый
Wanton	Необоснованный
